¿Eres fan de los triples?;¿Cuántos años tienes?;Género;¿En qué distrito de Lima Metropolitana resides o pasas la mayor parte de tu tiempo?;¿Con qué frecuencia consumes triples durante la semana?;¿En qué momento disfrutas más de este tipo de snack? (Selecciona todas las que apliquen);¿Dónde compras tus triples actualmente?;¿Qué valoras más al elegir un triple?;¿Cuál de estas presentaciones de Triple X te parece más atractiva y deliciosa?;¿Qué tipo de cremas o salsas te gustaría que acompañen nuestros triples? (Selecciona todas las que apliquen);¿Tienes en mente alguna crema especial que no viste en la lista anterior y te encantaría que acompañe nuestros triples?;Si tuvieras la oportunidad de probar un nuevo triple fácil de llevar, con rellenos sabrosos y diferentes, ¿qué tanto te interesaría?;¿Qué tan dispuesto(a) estás a probar sabores nuevos en productos como los triples?;¿Con qué te gustaría acompañar tu triple al momento de comerlo? (Selecciona todas las que apliquen);Considerando un triple de buena calidad y tamaño, ¿Cuánto te parecería justo pagar?;¿Dónde te gustaría poder comprar este Triple X? (Selecciona todas las que apliquen);¿Con qué frecuencia utilizarías un servicio de delivery para pedir estos triples?;Si el producto cumple con tus expectativas, ¿qué tan probable sería que lo recomiendes a un amigo o familiar?;¿Tienes algún comentario, sugerencia o idea adicional que quieras compartir con nosotros sobre este nuevo producto?
No, no son lo mío;Menos de 18 años;Femenino;San Bartolo;4 a 6 veces por semana;Para llevar (al trabajo, estudio, paseo);Supermercados;Sabor delicioso;La golosito (pollito a la brasa con papitas);Mayonesa;¡Definitivamente una crema de ají amarillo con queso fresco, por favor!;Nada interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Directo en redes sociales;A veces;Neutro;¡Delicioso! Más sabores peruanos auténticos, por favor, y a viajar!
No, no son lo mío;Menos de 18 años;Masculino;Ate;Rara vez o nunca;Como almuerzo o cena ligera;Ferias o mercados locales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Tártara;¡Absolutamente! Crema de pistacho y cardamomo, ¡sería celestial con el triple! ✨;Poco interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Supermercados;Nunca;Probable;¡Me encanta! Perfecto para aventuras culinarias en mis viajes. ✨
Sí, me encantan;25 - 34 años;Femenino;San Luis;Todos los días;Para llevar (al trabajo, estudio, paseo);Kioscos o carretillas;Innovación o formato novedoso;La golosito (pollito a la brasa con papitas);Mayonesa;¡Crema de aguacate y espinaca con un toque picante! 🥑🌶️;Poco interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Directo en redes sociales;Siempre;Poco probable;¡Súper! Más sabores locos y retos en app, ¡genial!
Sí, me encantan;25 - 34 años;Masculino;Chorrillos;Todos los días;En eventos o celebraciones pequeñas;Apps de delivery;Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Ají amarillo cremoso, por favor! Un toque andino sería perfecto.;Poco interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Entre S/ 12.00 y S/ 13.00;Directo en redes sociales;A veces;Nada probable;¡Delicioso y sorprendente! Ideal para un picnic después de jardinear.
Sí, me encantan;25 - 34 años;Femenino;San Miguel;Rara vez o nunca;Para el desayuno o lonche;Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Definitivamente una de jalapeño y mango! Picante, dulce, ¡fotogénico!;Interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Nada probable;¡Me encanta la energía! Más sabores exóticos y packaging fotogénico, porfa.
Sí, me encantan;35 - 44 años;Masculino;Pueblo Libre;2 a 3 veces por semana;En reuniones con amigos o familiares;Kioscos o carretillas;Innovación o formato novedoso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Definitivamente una crema de aguacate y jalapeño, picantita y fresca!;Muy interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Directo en redes sociales;Nunca;Nada probable;¡Me encanta! Podría ser aún más versátil con sabores inesperados.
No, no son lo mío;35 - 44 años;Masculino;Pueblo Libre;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Ferias o mercados locales;Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Ketchup;Uf... ¿una crema de puerro y nuez moscada? Probablemente decepcione.;Muy interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 16.00 y S/ 20.00;Apps de delivery;Rara vez;Nada probable;Mmm... pinta bien, pero dudo que supere mis tomates cherry.
No, no son lo mío;18 - 24 años;Masculino;Miraflores;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Tártara;Crema de calabaza asada y jengibre, un abrazo otoñal.;Nada interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 16.00 y S/ 20.00;Kioscos o carretillas;Nunca;Poco probable;¡Maravilloso! Recuerda que la cocina es amor, no perfección.
Sí, me encantan;18 - 24 años;Femenino;Independencia;4 a 6 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La golosito (pollito a la brasa con papitas);Ají criollo;¡Definitivamente una crema de pistacho salado! Suena increíble con chocolate.;Muy interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Menos de S/ 11.00;Kioscos o carretillas;Siempre;Poco probable;¡Me encanta la idea! Facilidad y sabor, perfecto para mis viajes.
No, no son lo mío;Más de 45 años;Masculino;Cieneguilla;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La insaciable (chorizo con chimichurri);Ají criollo;¡Ají amarillo cremoso, por favor! Un toque andino explosivo, ¡necesario!;Poco interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Entre S/ 14.00 y S/ 15.00;Kioscos o carretillas;Siempre;Nada probable;¡Delicioso y energizante! Perfecto para mi ritmo de vida activo.
Sí, me encantan;Más de 45 años;Femenino;San Isidro;Rara vez o nunca;Como almuerzo o cena ligera;Supermercados;Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Definitivamente matcha con un toque picante de jengibre! Necesito energía.;Muy interesado;Me encanta innovar;Con gaseosa, jugo o agua;Más de S/ 20.00;Ferias o mercados locales;A veces;Poco probable;¡Suena genial! Necesito algo rico y fácil para días pesados.
No, no son lo mío;35 - 44 años;Femenino;La Molina;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Sabor delicioso;La insaciable (chorizo con chimichurri);Ají criollo;¡Definitivamente una crema de aguacate y cilantro, fresca y audaz! 🥑🌿;Poco interesado;No me gusta experimentar;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Apps de delivery;Nunca;Neutro;¡Me encanta! Innovador, versátil y perfecto para mi estilo de vida.
No, no son lo mío;35 - 44 años;Masculino;San Juan de Miraflores;Todos los días;En reuniones con amigos o familiares;Apps de delivery;Tamaño práctico y fácil de llevar;La golosito (pollito a la brasa con papitas);Ketchup;¡Absolutamente! Una crema de aguacate y cilantro tostado, ¡explosiva!;Poco interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Ferias o mercados locales;A veces;Nada probable;¡Innovador! Potencial enorme, pero necesita un toque audaz y global.
Sí, me encantan;Menos de 18 años;Femenino;San Luis;Rara vez o nunca;Como almuerzo o cena ligera;Apps de delivery;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;¡Absolutamente! Una crema de aguacate y cilantro, fresca y vibrante.;Poco interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Entre S/ 16.00 y S/ 20.00;Apps de delivery;Rara vez;Probable;¡Increíble! Facilita la vida, inspira a crear y a disfrutar.
No, no son lo mío;18 - 24 años;Femenino;San Luis;Rara vez o nunca;Como almuerzo o cena ligera;Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Mantequilla de almendras con un toque de canela y miel! ✨📸;Poco interesado;Me encanta innovar;Con gaseosa, jugo o agua;Más de S/ 20.00;Ferias o mercados locales;Rara vez;Probable;¡Súper! Podría tener sabores inspirados en fotos vibrantes y retos.
Sí, me encantan;35 - 44 años;Masculino;Miraflores;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;Ay, no sé... quizás una crema de choclo, pero dudo que quede bien.;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 16.00 y S/ 20.00;Supermercados;Siempre;Neutro;Mmm, suena bien... pero dudo que supere a mi abuela.
No, no son lo mío;25 - 34 años;Masculino;Lima Cercado;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Directo en redes sociales;Innovación o formato novedoso;La golosito (pollito a la brasa con papitas);Mayonesa;¡Uf, sí! Una crema de aguacate y jalapeño, ¡explosiva y fresca! 🥑🌶️;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Más de S/ 20.00;Directo en redes sociales;A veces;Probable;¡Me encanta! Podría tener niveles de dificultad como en videojuegos.
Sí, me encantan;18 - 24 años;Masculino;Magdalena del Mar;Una vez por semana o menos;Como almuerzo o cena ligera;Directo en redes sociales;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ketchup;¡Absolutamente! Crema de aguacate y cilantro, fresca y vibrante.;Interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Directo en redes sociales;Rara vez;Probable;¡Me encanta! Práctico, sabroso y perfecto para mi ritmo de vida.
Sí, me encantan;25 - 34 años;Femenino;Magdalena del Mar;Todos los días;Para el desayuno o lonche;Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La insaciable (chorizo con chimichurri);Tártara;¡Uf, probablemente nada sea *realmente* bueno, pero aguacate, supongo! 🥑;Interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Kioscos o carretillas;A veces;Poco probable;¡Suena bien, pero dudo que sea *realmente* saludable! ¡Más proteína!
Sí, me encantan;Más de 45 años;Masculino;Lince;2 a 3 veces por semana;Como almuerzo o cena ligera;Supermercados;Sabor delicioso;La insaciable (chorizo con chimichurri);Ketchup;Mantequilla de almendras con matcha y un toque de chile.;Nada interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 12.00 y S/ 13.00;Kioscos o carretillas;Nunca;Muy probable;"Mejor sabor afrutado, menos azúcar, ¡y modo ""gamer"" post-entreno!"
No, no son lo mío;25 - 34 años;Masculino;Breña;Todos los días;Para el desayuno o lonche;Apps de delivery;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Tártara;Mmm... una crema de calabaza asada con un toque de jengibre.;Interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Poco probable;Hmm... parece interesante, pero necesito saber más sobre su origen.
Sí, me encantan;25 - 34 años;Femenino;Villa El Salvador;Todos los días;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Sabor delicioso;La insaciable (chorizo con chimichurri);Tártara;¡Una crema de aguacate y cilantro ahumado! Exótica y refrescante.;Nada interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Menos de S/ 11.00;Kioscos o carretillas;Siempre;Nada probable;¡Me encanta la innovación! Facilidad y sabor, clave para viajeros como yo.
No, no son lo mío;25 - 34 años;Masculino;Miraflores;4 a 6 veces por semana;Como almuerzo o cena ligera;Directo en redes sociales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;Mmm... ¿una crema de aguacate y jalapeño, quizás? ¡Suavemente picante!;Interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Ferias o mercados locales;Siempre;Poco probable;Mmm... interesante. Quizás un toque más de especias, ¿eh? ¡Y un juego!
No, no son lo mío;25 - 34 años;Masculino;Ate;4 a 6 veces por semana;En reuniones con amigos o familiares;Supermercados;Sabor delicioso;La insaciable (chorizo con chimichurri);Ketchup;¡Definitivamente una crema de aguacate y cilantro, fresca y vibrante!;Nada interesado;No me gusta experimentar;Con gaseosa, jugo o agua;Más de S/ 20.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Probable;¡Innovador! Potencial enorme, ideal para foodies viajeros como yo.
No, no son lo mío;35 - 44 años;Femenino;La Victoria;Una vez por semana o menos;En reuniones con amigos o familiares;Apps de delivery;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;Crema de aguacate y cilantro, fresca y calmante para este estrés.;Muy interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Ferias o mercados locales;Nunca;Nada probable;Simplifica mi vida, menos estrés, más sabor en casa.
No, no son lo mío;25 - 34 años;Femenino;Cieneguilla;Rara vez o nunca;Como almuerzo o cena ligera;Apps de delivery;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Tártara;¡Definitivamente una crema de ají amarillo con queso fresco, porfa! 🤤;Interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Kioscos o carretillas;Siempre;Muy probable;¡Sabor peruano auténtico y empaque moderno, ideal para gamers!
Sí, me encantan;25 - 34 años;Masculino;Cieneguilla;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Ferias o mercados locales;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Ají criollo;¡Una crema de aguacate y cilantro, fresca y vibrante, por favor! 🥑🌿;Nada interesado;Me encanta innovar;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Ferias o mercados locales;A veces;Neutro;¡Delicioso y versátil! Ideal para cenas rápidas y felices en casa. ✨
No, no son lo mío;25 - 34 años;Masculino;Santiago de Surco;4 a 6 veces por semana;Como almuerzo o cena ligera;Supermercados;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Ketchup;¡Una mayonesa de ajo negro, sofisticada y con punch! 🖤🧄;Poco interesado;No me gusta experimentar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Apps de delivery;A veces;Nada probable;¡Me encanta la practicidad! Perfecto para llevar de viaje, ¡súper útil!
Sí, me encantan;Menos de 18 años;Masculino;Lima Cercado;Una vez por semana o menos;En reuniones con amigos o familiares;Supermercados;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Mantequilla de almendras y miel! Perfecta para energía viajera y post-entreno.;Nada interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Supermercados;A veces;Nada probable;¡Me encanta! Ideal para mis entrenos y aventuras viajeras. ¡Genial!
No, no son lo mío;35 - 44 años;Femenino;Pachacámac;2 a 3 veces por semana;Como almuerzo o cena ligera;Ferias o mercados locales;Precio accesible;La golosito (pollito a la brasa con papitas);Mayonesa;Hummus suave, para mojar y disfrutar sin llamar la atención.;Poco interesado;Me encanta innovar;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Poco probable;Práctico, saludable y discreto. Perfecto para llevar al gimnasio.
Sí, me encantan;25 - 34 años;Femenino;Santa María del Mar;Una vez por semana o menos;Para llevar (al trabajo, estudio, paseo);Directo en redes sociales;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Ketchup;Una crema de aguacate y cilantro, fresca y con un toque picante.;Interesado;Me encanta innovar;Con gaseosa, jugo o agua;Más de S/ 20.00;Directo en redes sociales;Nunca;Neutro;Intrigante. Potencial para elevar la cocina casera, pero simplificar instrucciones.
No, no son lo mío;35 - 44 años;Masculino;Ate;Una vez por semana o menos;Para llevar (al trabajo, estudio, paseo);Ferias o mercados locales;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Definitivamente lavanda con miel! Suena súper fresco y delicioso. ✨🍯💜;Nada interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Ferias o mercados locales;Rara vez;Probable;¡Increíble! Más opciones veganas y con proteína, ¡porfa! 🤩💪
No, no son lo mío;18 - 24 años;Masculino;Carabayllo;4 a 6 veces por semana;Como almuerzo o cena ligera;Directo en redes sociales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ketchup;¡Lavanda con miel y un toque de pimienta rosa, por favor!;Interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Menos de S/ 11.00;Supermercados;Nunca;Nada probable;¡Delicioso! Un capricho saludable para disfrutar después de correr, sin culpas.
No, no son lo mío;Menos de 18 años;Femenino;Lurín;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;Ugh, sinceramente, prefiero ver mi serie a pensar en cremas. 🙄;Interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Directo en redes sociales;A veces;Muy probable;Meh, pinta regular. Igual lo pruebo si estoy aburrido viendo series.
Sí, me encantan;Menos de 18 años;Masculino;Pueblo Libre;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La insaciable (chorizo con chimichurri);Tártara;Hummus de remolacha casero, ¡un toque de jardín en cada bocado!;Interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Ferias o mercados locales;Nunca;Probable;Sabor natural, empaque discreto, ideal para un respiro creativo en el jardín.
No, no son lo mío;25 - 34 años;Femenino;Lurigancho-Chosica;4 a 6 veces por semana;Como almuerzo o cena ligera;Apps de delivery;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Mayonesa;Mantequilla de almendras con miel y un toque de canela, ¡porfa!;Muy interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Neutro;Mejor sabor, más información nutricional clara y opciones para viajar.
No, no son lo mío;35 - 44 años;Femenino;Villa El Salvador;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Ay, no sé! Quizás Nutella... si tengo tiempo para disfrutarla.;Interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Menos de S/ 11.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Probable;Suena bien, pero dudo que realmente me ahorre tiempo.
No, no son lo mío;35 - 44 años;Femenino;Santa Rosa;4 a 6 veces por semana;Para el desayuno o lonche;Ferias o mercados locales;Precio accesible;La golosito (pollito a la brasa con papitas);Tártara;¡Uy, sí! Una cremita de rocoto suave con hierbabuena, ¡sería ideal! ✨🌱;Interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Kioscos o carretillas;Rara vez;Nada probable;¡Wow, si sabe a Perú, sueño con un huerto de ingredientes! ✨
No, no son lo mío;18 - 24 años;Masculino;Santiago de Surco;Todos los días;Para llevar (al trabajo, estudio, paseo);Apps de delivery;Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Mmm, crema de lavanda con miel! Suena súper mágico y dulce. ✨;Nada interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);A veces;Nada probable;¡Suena increíble! ¿Podría tener un sabor inspirado en videojuegos? ✨🎮
No, no son lo mío;Menos de 18 años;Femenino;Ancón;Rara vez o nunca;En reuniones con amigos o familiares;Tiendas de conveniencia (Tambo, Oxxo, etc.);Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Definitivamente una crema de aguacate y jalapeño tostado, por favor! 🥑🌶️;Interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Apps de delivery;A veces;Probable;¡Me encanta la audacia! Pruébenlo con un maridaje inesperado, ¡sorprenderá!
Sí, me encantan;Menos de 18 años;Femenino;Cieneguilla;Una vez por semana o menos;En reuniones con amigos o familiares;Supermercados;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Ají amarillo cremoso! Un toque peruano, ¡fotografía obligada con el triple!;Interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Apps de delivery;Siempre;Probable;¡Delicioso y auténtico! Perfecto para fotografiar y recordar este viaje.
Sí, me encantan;35 - 44 años;Masculino;Lurigancho-Chosica;Rara vez o nunca;Como almuerzo o cena ligera;Apps de delivery;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ketchup;Mmm, una crema de aguacate y cilantro tostado, ¡sería perfecta!;Muy interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Directo en redes sociales;Siempre;Muy probable;Visualmente atractivo, pero necesito saber más sobre su versatilidad culinaria.
Sí, me encantan;18 - 24 años;Femenino;Lurín;Rara vez o nunca;En eventos o celebraciones pequeñas;Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La insaciable (chorizo con chimichurri);Tártara;Una crema de avellanas tostadas y un toque de flor de sal.;Muy interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Apps de delivery;Nunca;Poco probable;Delicioso, pero quizás un toque de especias más complejas, por favor.
Sí, me encantan;35 - 44 años;Masculino;Magdalena del Mar;Rara vez o nunca;En eventos o celebraciones pequeñas;Ferias o mercados locales;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;Mmm... ¿alguna con proteína y un toque de miel, quizás?;Muy interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Entre S/ 16.00 y S/ 20.00;Supermercados;Rara vez;Nada probable;Suena interesante, pero me gustaría saber más sobre ingredientes.
Sí, me encantan;35 - 44 años;Masculino;La Molina;Todos los días;Para el desayuno o lonche;Supermercados;Innovación o formato novedoso;La golosito (pollito a la brasa con papitas);Mayonesa;¡Una crema de aguacate y cilantro, fresca y vibrante, sería ideal!;Interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Directo en redes sociales;Siempre;Poco probable;¡Me encanta! Fácil de usar, perfecto para viajes y recetas rápidas.
Sí, me encantan;Menos de 18 años;Masculino;Barranco;4 a 6 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Ferias o mercados locales;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ketchup;¡Definitivamente una crema de aguacate y jalapeño, con un toque cítrico!;Nada interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Apps de delivery;A veces;Poco probable;¡Excelente iniciativa! Quizás opciones sin gluten y más info nutricional.
No, no son lo mío;35 - 44 años;Masculino;Pucusana;Rara vez o nunca;En reuniones con amigos o familiares;Supermercados;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Ketchup;Mmm, crema de lavanda con miel, ¡sería celestial con el triple!;Poco interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Apps de delivery;A veces;Poco probable;¡Suena intrigante! Quizás recetas sencillas en el empaque ayudarían.
No, no son lo mío;Más de 45 años;Masculino;Santa Rosa;2 a 3 veces por semana;Para llevar (al trabajo, estudio, paseo);Apps de delivery;Precio accesible;La golosito (pollito a la brasa con papitas);Ketchup;Mmm... ¿crema de cacahuete con plátano y un toque de miel? 😊;Nada interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Ferias o mercados locales;Nunca;Probable;Mmm... ¡Me da energía sin sentirme agitado, genial! 😊🎮
No, no son lo mío;Más de 45 años;Masculino;Jesús María;2 a 3 veces por semana;Como almuerzo o cena ligera;Kioscos o carretillas;Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Ají amarillo cremoso! Sería la combinación perfecta, ¡explosión de sabor!;Nada interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Directo en redes sociales;Rara vez;Neutro;¡Delicioso y adictivo! Perfecto para energizar mis viajes y jornadas.
No, no son lo mío;Más de 45 años;Masculino;Villa El Salvador;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Ají criollo;¡Uf, sí! Una crema de aguacate y cilantro, ¡explosión de sabor! 🥑✨;Nada interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Ferias o mercados locales;A veces;Probable;¡WOW! Súper innovador, visualmente impactante, ¡y delicioso! ¡Quiero más! ✨
Sí, me encantan;Más de 45 años;Masculino;El Agustino;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Directo en redes sociales;Precio accesible;La golosito (pollito a la brasa con papitas);Tártara;¡Crema de ají amarillo con toques de maracuyá, porfa! ✨;Muy interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Entre S/ 12.00 y S/ 13.00;Kioscos o carretillas;Nunca;Poco probable;¡Súper! Que tenga sabores únicos y empaque llamativo, ¡porfa! ✨🇵🇪
No, no son lo mío;18 - 24 años;Femenino;Carabayllo;2 a 3 veces por semana;Para el desayuno o lonche;Supermercados;Tamaño práctico y fácil de llevar;La golosito (pollito a la brasa con papitas);Tártara;¡Definitivamente una crema de ají amarillo con queso fresco, porfa! 🤤;Nada interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Apps de delivery;Siempre;Poco probable;¡Necesito esto en mi vida para sobrevivir a la facu y las series!
Sí, me encantan;35 - 44 años;Masculino;La Victoria;2 a 3 veces por semana;Para el desayuno o lonche;Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Absolutamente! Crema de calabaza asada con un toque de jengibre. ¡Delicioso!;Muy interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Directo en redes sociales;Nunca;Nada probable;¡Maravilloso! Podría inspirar recetas frescas, de huerto a mesa, ¡soñando despierto!
No, no son lo mío;18 - 24 años;Femenino;Villa El Salvador;2 a 3 veces por semana;En reuniones con amigos o familiares;Ferias o mercados locales;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;Ugh, probablemente sería decepcionante, pero... ¿crema de lavanda y sal marina?;Nada interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Kioscos o carretillas;Siempre;Muy probable;Suena interesante, pero probablemente será otra decepción sobrevalorada. 🙄🎶
